ASIN,Title,ProxScore,Category,Brand,BSR,Price,"Monthly Sales","Net Price","Monthly Revenue","Review Count","Review Rating",Sellers,"Last Year Sales","Sales Year over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period"
B0772KYPLG,"Inspirational Wall Art Decor Gifts for Women Mom Contemporary Artwork Metallic Art Prints Quote Wall Decor Poster Handmade 8 x 10 Modern Art Wall Decor - She believed She Could So She Did - Gold foil",2,"Home & Kitchen",zoligy,696558,10,8,6.09,80,22,3.8,1,816,,-78,,"Aug, 2018"
B07CXLG67D,"Van Eyck Audrey Hepburn Tiffany Blue Bubble Gum Canvas Poster Wall Art for Guest Bedroom Decor Kitchen Decoration Living Home Decorations?12x16 inch with Inner Frame?",2,"Home & Kitchen","Van Eyck",77783,29.9,155,20.15,4634.5,23,4.8,1,1449,,20,-2,"Feb, 2019"
B07DFXN8QN,"GBtroo Rustic Wall Sconces - Mason Jars Sconce, Rustic Home Decor,Wrought Iron Hooks, Silk Hydrangea and LED Strip Lights Design 6 Hour Timer Home Decoration (Set of 2)",2,"Home & Kitchen",GBtroo,1804,19.89,4205,11.27,83637.45,783,4.5,1,66676,,-51,6,"Mar, 2019"
B0100II02Q,"Darice 5915-706 Silver Metal Marquee Letter 9.875""-E",2,"Home & Kitchen",Darice,553,13.99,11530,6.63,161304.7,1238,4.5,18,159261,162,8,31,"Dec, 2018"
B01LARGN5C,"Urban Habitat Traveling Road Grey Abstract Canvas Wall Art 20X24 3 Piece Multi Panel, Modern/Contemporary Wall D",2,"Home & Kitchen","Urban Habitat",185135,74.8,10,45.82,748,7,4.2,6,153,,-61,5,"Sep, 2018"
B01N07EFE1,"Greenco 5 Tier Wall Mount Corner Shelves White Finish",2,"Home & Kitchen",Greenco,687,21.99,15216,11.15,334599.84,2009,4.2,9,173491,242,-38,-29,"Mar, 2019"
B073VXWV4S,"Greenco 5 Tier Wall Mount Corner Shelves Gray Finish",2,"Home & Kitchen",Greenco,686,22.99,15179,12,348965.21,2018,4.2,2,173473,379,-39,7,"Mar, 2019"
B077JZS543,"Simmer Stone Rose Gold Wall Grid Panel for Photo Hanging Display & Wall Decoration Organizer, Multi-Functional Wall Storage Display Grid, 5 Clips & 4 Nails Offered, Set of 1, 17.7""x 25.6""",2,"Home & Kitchen","Simmer Stone",28935,28.99,154,14.1,4464.46,42,4.5,1,1763,,426,15,"Oct, 2018"
B07CSNFHR2,"Fefelightup Rainbow Curtain Lights Fairy Lights Icicle Lights Fantasy Unicorn (Rainbow)",2,"Home & Kitchen",Fefe,23255,26.99,728,19.66,19648.72,134,4.4,1,19198,,160,-26,"Dec, 2018"
B07D1B7QPQ,"Comfort Spaces Vivian 4 Piece Comforter Set Ultra Soft All Season Lightweight Microfiber Geometric Metallic Print Hypoallergenic Bedding, Full/Queen, Blush/Gold",2,"Home & Kitchen","Comfort Spaces",37585,57.1,400,35.71,21508,131,4.2,1,5364,,18,1,"Aug, 2018"
B07G4YC262,"Signature Design by Ashley A8000252 Paytah Wall Art, Silver Finish",2,"Home & Kitchen","Signature Design by Ashley",246192,90.64,22,56.33,1994.08,13,5,11,,,25,,"Jan, 2019"
B07GK6LLWY,"Kas Home Art Vintage Large Gold Foil World Map Wall Art Painting Pictures Print on Canvas Art The Picture for Home Modern Decoration Office Wall Decor (32 x 48 Inch, B Framed)",2,"Home & Kitchen","Kas Home",436070,99.9,26,84.91,2597.4,14,5,2,,,184,1,"Feb, 2019"
B07GZQ5H2W,"SUMGAR Abstract Wall Art Bedroom Modern Pictures Gold Framed Paintings Yellow Gray Canvas Prints Artwork,16x24 in",2,"Home & Kitchen",SUMGAR,345674,36.99,15,21.28,554.85,3,2.8,1,,,-104,,"Mar, 2019"
B07HJ7JBY5,"Hot Sale!DEESEE(TM)????Wool Imitation Sheepskin Rugs Faux Fur Non Slip Bedroom Shaggy Carpet Mats 40 x 50 cm (A)",2,"Tools & Home Improve",DEESEE(TM)_Home,125892,8.28,11,7.04,91.08,15,2.1,1,,,114,,"Apr, 2019"
B07JMPFNR8,"4 Pieces Abstract Poster Printed Golden Egyptian Queen Beauty Black Woman Portrait Wall Art Canvas Print Frame Picture Painting for Office Hallway Home Decor Gift Direct Hanging",2,"Kitchen & Dining","gold mi",14865,37.95,146,22.48,5540.7,14,4.5,2,,,185,-26,"Jul, 2019"
B07KC7YNN3,"Wall Art Botanical Pictures Painting: White Lily Bouquet of Flowers Oil Painting Floral Artwork Print on Wrapped Canvas for Walls",2,"Home & Kitchen","Artistic Path",82620,44.99,163,25.42,7333.37,26,4.7,1,,,-68,19,"May, 2019"
B07QVM91J6,"YOOOAHU Unicorn Wall Art for Girls Room 3 Pieces Cute Unicorns Wall Decor Pictures Home Decoration Rainbow Balloon Framed Canvas Print Painting Nursery Kid's Bedroom Bathroom Gifts 3Pcs 12x16",2,"Home & Kitchen",YOOOAHU,22607,28.49,451,18.58,12848.99,16,4.8,2,,,,-4,"Jul, 2019"
B00P0VCCZU,"P. Graham Dunn Always Remember You are Braver Than You Think 4x6 Wall Plaque",2,"Home & Kitchen","P. Graham Dunn",25801,11.49,1075,7.36,12351.75,311,3.5,1,23643,-3,3,,"Dec, 2018"
B01061FL0G,"KoTing Blackout Golden Curtain Drape for Bedroom 1 Panel Gorgeous Solid Gold Curtain Grommet Top Drapes 84 inch Long 50 84",2,"Home & Kitchen",KoTing,55293,28.99,166,19.88,4646.34,83,4.4,1,2165,,43,-4,"Mar, 2019"
B01N2MF4V1,"TutuBeer 3 Panel Canvas Wall Art for Home Decor Blue Sea Sunset White Beach Painting The Picture Print On Canvas Seascape The Pictures for Home Decor Decoration,Ready to Hang",2,"Home & Kitchen",TutuBeer,9097,18.8,947,9.96,17803.6,225,4.2,2,5786,29,134,,"Jul, 2019"
B01NATD0GN,"Stonebriar Rustic Wooden Worn White Painted ""Live Your Adventure"" Wall Art with Attached Hanger, Inspirational Wall Decor, Artwork for Entryway, Office, Bedroom, and Living Room",2,"Home & Kitchen",Stonebriar,39377,12.38,183,0.74,2265.54,41,4.1,3,2153,,32,,"Dec, 2018"
B06XRBJ9BB,"Noahas Ultra Soft 4.5cm Velvet Bedroom Rugs Kids Room Carpet Modern Shaggy Area Rugs Home Decor 2.6' X 5.3', Pink",2,"Home & Kitchen",Noahas,701,19.69,9279,11.48,182703.51,918,3.6,1,58062,917,91,4,"Jul, 2019"
B06Y16XDCH,"Gift Boutique 9"" Ceramic Aqua Pineapple Showpiece Beautifully Sculpted with Realistic Detail, Aqua Gloss with Gold Metallic Crown",2,"Home & Kitchen","Gift Boutique",20625,19.95,730,10.94,14563.5,230,4.7,1,6443,560,13,,"May, 2019"
B071SFPHYQ,"MODE HOME 11.81""X15.75"" Decorative Wooden Wall Signs Vintage Wooden Wall Plaque Signs With Quotes Sayings (ALWAYS REMEMBER)",2,"Home & Kitchen","MODE HOME",108656,19.98,145,12.22,2897.1,28,4.6,1,1584,,14,3,"Jul, 2019"
B079GJQZ6H,"AerWo Boho Dream Catchers Handmade White Gold Feather Dreamcatchers with Flowers for Wall Hanging Decoration, Wedding Decoration Craft (Dia 7.8"" Length 20"")",2,"Home & Kitchen",AerWo,7144,9.99,1868,5.09,18661.32,224,4,2,20456,,67,,"Mar, 2019"
B07FS9LNHX,"LED Photo Clip String Lights, Fairy Dorm Curtain Wall Hangings for Artwork Paintings Dorm Bedroom Christmas Birthday Party Wedding Home Indoor/Outdoor Decor, Battery Operated",2,"Patio, Lawn & Garden",Besteamer,2428,16.98,1080,8.68,18338.4,78,4.1,1,,,0,5,"Dec, 2018"
B07GD7XF5W,"Canvas Wall Art for living room bathroom Wall Decor for bedroom kitchen artwork Canvas Prints green plant flowers painting 12"" x 16"" 3 Pieces Modern framed office Home decorations family picture",2,"Home & Kitchen",TTHWALLART,14905,26.99,661,17.3,17840.39,61,4.4,3,,,59,,"Jul, 2019"
B07HN3YZWJ,"Chsdec Black & White Typography Motivational Lettering Minimal Art Wall Positive Quote Poster?Canvas Inspirational Phrases Set of 3 Art Print?8""x10""? for Classroom Office Decorations",2,"Home & Kitchen",Chsdec,59882,13.29,106,7.9,1408.74,21,4.1,1,,,456,-4,"Mar, 2019"
B07LD2D5Y2,"Keep Your Head Heels?and Standards high Quote Fashion Art Painting High Heels Prints Set of 1 (12",2,"Home & Kitchen",Homdeco,89453,10.69,86,5.9,919.34,17,3.8,1,,,119,,"Mar, 2019"
B07N2NV1VC,"Inspirational Quote &Saying Art Print Song Lyrics Minimalist Canvas Art Poster, Set of 2?8""x10""? Black and White Words Wall Picture, Motivation Gift",2,"Home & Kitchen",Chsdec,90246,12.29,124,8.04,1523.96,26,3.7,1,,,442,2,"Jul, 2019"
