Phrase,"Search Volume",Category,BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Review Rating",Sellers,"Last Year Sales","Sales Year over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Search Potential","Number of Competing Products","Sales to Reviews"
"branch decor",141,"Home & Kitchen",69611,22.61,369,6271.37,135,4.09,2,4549,285,53,0,"Apr, 2019",6,200000,6.5645
"bath tub tray table",179,"Home & Kitchen",105904,34.63,293,11016.62,178,4.39,2,11013,1,0,0,"Dec, 2018",2,2000,2.116
"shield creator",194,"Home & Kitchen",279812,26.32,1370,34955.6,594,4.44,3,19004,502,29,0,"Jan, 2019",1,1000,2.99411764
"cervical spine pillow",179,"Home & Kitchen",17665,39.46,3449,128527.28,475,4.37,2,50155,67,0,0,"Aug, 2019",2,50000,10.423
"summer wreaths for front door 24 inch",227,"Home & Kitchen",452070,49.33,79,3192.38,119,4.46,3,1800,22,0,0,"Mar, 2018",0,0,4.67166666
"best shoe rack",223,"Home & Kitchen",7294,39.17,3837,123021.23,1206,4.54,3,57759,52,0,-3,"Apr, 2019",3,0,9.2675
"family quotes wall decals",170,"Home & Kitchen",81385,12.01,166,1859.57,84,3.84,2,2577,423,9,0,"Aug, 2018",4,0,5.3015
"organizador de carteras",402,"Home & Kitchen",39455,17.4,2241,39777.21,341,4.3,2,26949,673,0,0,"Jan, 2019",3,149,4.85
almoadas,243,"Home & Kitchen",41515,33.96,9833,297357.88,1196,4.43,3,185243,41,0,0,"Jul, 2019",5,44,11.8857894
"plexiglass table top",218,"Home & Kitchen",129018,37.78,865,27656.61,197,4.25,4,10880,843,0,0,"Jul, 2019",3,0,7.763
"travel laundry bags",436,"Home & Kitchen",22436,10.52,4820,41424.97,453,4.58,2,59795,-28,0,0,"Jul, 2019",5,100000,14.3010526
"blue and yellow throw pillows",185,"Home & Kitchen",79674,13.92,856,10968.32,376,4.58,2,20065,179,0,0,"Jul, 2019",4,60000,5.260625
"outdoor wall mount fans",271,"Home & Kitchen",55123,116.74,2553,147534.16,433,4.09,7,34046,102,0,0,"Jul, 2019",4,0,5.51388888
"beige table runner",178,"Home & Kitchen",84688,15.27,576,9072.57,181,4.51,2,10290,228,0,0,"Jan, 2019",4,90000,10.4305
"ocean nursery decor",170,"Home & Kitchen",164134,28.54,929,23432.53,198,4.62,4,12628,80,0,0,"Jul, 2019",3,200000,6.21333333
"wire shelf hooks",163,"Home & Kitchen",113656,10.98,345,3386.91,64,4.6,3,11497,,0,0,"Jul, 2019",3,0,11.23
"air sponge odor absorber",244,"Home & Kitchen",128521,31.59,2593,52382.54,360,4.22,7,40240,44,0,0,"Aug, 2019",3,0,8.55263157
"japanese floor futon",241,"Home & Kitchen",142561,143.57,164,22179.51,157,4.11,2,1722,85,0,0,"Jul, 2019",3,0,1.98526315
"owl bedding",151,"Home & Kitchen",135095,60.16,53,2790.93,110,4.33,3,1370,-36,0,0,"Aug, 2018",6,100000,1.39333333
"lana del rey merchandise",187,"Home & Kitchen",608342,10.71,17,188.36,19,4,2,249,22,-31,0,"Dec, 2017",2,0,1.77888888
"sectionals sofas",323,"Home & Kitchen",199440,608.3,227,83880.61,307,3.83,6,2793,1367,0,0,"Apr, 2019",8,40000,2.654
"personalized picture frame",237,"Home & Kitchen",225908,26.79,74,2315.02,38,4.68,2,1168,643,0,0,"Dec, 2018",5,0,2.1835
"baby blue throw blanket",189,"Home & Kitchen",91857,22.48,2452,49891.02,323,4.46,2,27651,929,0,0,"Jul, 2019",2,0,7.706
"bed rails for queen",227,"Home & Kitchen",35698,71.3,4937,282042.87,1326,4.19,4,71265,122,-35,0,"Aug, 2018",6,0,5.16263157
"to my daughter music box",232,"Home & Kitchen",226941,22.79,179,2901.93,36,4.26,2,1012,593,0,0,"Aug, 2019",4,0,46.0705882
"wicker garbage can",251,"Home & Kitchen",138681,49.14,834,27255.13,306,4.27,9,8335,267,0,0,"Jul, 2019",4,0,6.37722222
"travel accessories pillow",193,"Home & Kitchen",35121,24.85,5464,129665.23,1035,4.28,2,81881,62,0,0,-,2,100000,6.15125
"room decor for girls",4854,"Home & Kitchen",11126,32.86,1992,55881.99,507,4.36,3,25583,256,0,0,"Dec, 2018",7,500000,5.72666666
"key decor",221,"Home & Kitchen",97333,13.04,505,4733.53,213,4.4,3,12380,76,0,0,"May, 2019",6,200000,2.46
"dinner napkins linen",208,"Home & Kitchen",77685,21.79,1087,21263.39,322,4.47,2,20600,496,0,0,"Nov, 2018",4,40000,2.2725
"dream drawer",160,"Home & Kitchen",58513,22.8,938,20347.96,233,4.52,3,17527,87,-18,0,"Jan, 2019",3,5000,7.13789473
"la boda",191,"Home & Kitchen",258880,33.97,75,1582.1,10,3.99,6,117,64,0,0,-,4,30000,6.34428571
